Fonction;ncalls
<method 'find' of 'bytearray' objects>;32
<method 'translate' of 'bytearray' objects>;4
<method 'decode' of 'bytes' objects>;2
<method 'setter' of 'property' objects>;3
<method 'get' of 'mappingproxy' objects>;97
<method 'items' of 'mappingproxy' objects>;4
<method 'append' of 'list' objects>;3323
<method 'extend' of 'list' objects>;17
<method 'pop' of 'list' objects>;1072
<method 'remove' of 'list' objects>;40
<method 'sort' of 'list' objects>;3
<method 'bit_length' of 'int' objects>;7
<built-in method from_bytes>;75
<method 'get' of 'dict' objects>;128
<method 'setdefault' of 'dict' objects>;1
<method 'pop' of 'dict' objects>;1885
<method 'items' of 'dict' objects>;1976
<method 'values' of 'dict' objects>;83
<method 'update' of 'dict' objects>;3892
<built-in method fromkeys>;6
<method 'clear' of 'dict' objects>;3
<method '__contains__' of 'frozenset' objects>;17
<method 'add' of 'set' objects>;14
<built-in method __new__ of type object at 0xa43b40>;128
<method '__init_subclass__' of 'object' objects>;1
<method 'encode' of 'str' objects>;2
<method 'replace' of 'str' objects>;1
<method 'split' of 'str' objects>;1032
<method 'join' of 'str' objects>;433
<method 'lower' of 'str' objects>;1
<method 'rfind' of 'str' objects>;53
<method 'rstrip' of 'str' objects>;740
<method 'rpartition' of 'str' objects>;190
<method 'translate' of 'str' objects>;1
<method 'startswith' of 'str' objects>;362
<method 'endswith' of 'str' objects>;33
<method 'removeprefix' of 'str' objects>;1
<method 'isupper' of 'str' objects>;77
<method 'isidentifier' of 'str' objects>;21
<method 'format' of 'str' objects>;35
<built-in method builtins.__build_class__>;97
<built-in method builtins.__import__>;1
<built-in method builtins.any>;5
<built-in method builtins.callable>;9617
<built-in method builtins.eval>;3
<built-in method builtins.exec>;1
<built-in method builtins.getattr>;2230
<built-in method builtins.globals>;2
<built-in method builtins.hasattr>;597
<built-in method builtins.id>;7
<built-in method builtins.isinstance>;16280
<built-in method builtins.issubclass>;8
<built-in method builtins.len>;253325
<built-in method builtins.locals>;35
<built-in method builtins.max>;54
<built-in method builtins.min>;38
<built-in method builtins.next>;1842
<built-in method builtins.ord>;22
<built-in method builtins.repr>;7
<built-in method builtins.setattr>;94
<built-in method builtins.sorted>;1
<built-in method _imp.acquire_lock>;212
<built-in method _imp.release_lock>;212
<built-in method _imp.find_frozen>;29
<built-in method _imp.create_builtin>;9
<built-in method _imp.is_builtin>;38
<built-in method _imp.create_dynamic>;2
<built-in method _imp.exec_dynamic>;2
<built-in method _imp.exec_builtin>;9
<built-in method _imp._fix_co_filename>;25
<built-in method marshal.loads>;25
<built-in method sys._getframemodulename>;3
<built-in method sys.intern>;17
<function Random.seed at 0x7b177aadd080>;1
<method 'getrandbits' of '_random.Random' objects>;12
<built-in method _struct.calcsize>;18
<built-in method math.dist>;349476
<built-in method math.exp>;1
<built-in method math.log>;2
<built-in method math.sqrt>;241
<method 'close' of 'select.epoll' objects>;1
<built-in method posix.stat>;133
<built-in method posix.getcwd>;1
<built-in method posix.listdir>;3
<built-in method posix.uname>;1
<built-in method posix.register_at_fork>;1
<built-in method posix.confstr>;1
<built-in method posix.fspath>;83
<built-in method _io.open_code>;25
<method '__exit__' of '_io._IOBase' objects>;25
<method 'read' of '_io.BufferedReader' objects>;25
<built-in method _sre.compile>;3
<built-in method _sre.ascii_iscased>;4
<built-in method _sre.unicode_iscased>;5
<built-in method _sre.ascii_tolower>;4
<built-in method _thread.allocate_lock>;38
<built-in method _thread.get_ident>;80
<method '__exit__' of '_thread.RLock' objects>;80
<built-in method time.time>;3482
<built-in method time.sleep>;1
<built-in method _weakref._remove_dead_weakref>;40
<built-in method _abc._abc_init>;7
<built-in method _operator.index>;21
<built-in method _operator.index>;2
<built-in method _operator.index>;2
<built-in method _operator.index>;2
<built-in method _operator.index>;1
<built-in method _operator.index>;1
<built-in method _operator.index>;4
<built-in method _operator.index>;5
<built-in method _operator.index>;1
<built-in method _operator.index>;4
<built-in method _operator.index>;1
<built-in method _operator.index>;7
<built-in method _operator.index>;4
<built-in method _operator.index>;3
<built-in method _operator.index>;3
<built-in method _operator.index>;3
<built-in method _operator.index>;65
<built-in method _operator.index>;27
<built-in method _operator.index>;3
<genexpr>;24
<genexpr>;29
<genexpr>;29
<genexpr>;79
<genexpr>;3
<genexpr>;2
<genexpr>;2
<genexpr>;2
<genexpr>;25
